seed_id,query,rank,url,title,domain,result_type,snippet,observed_at_utc
SEED-COUP-01,ייעוץ זוגי,1,https://www.betipulnet.co.il/counseling/couples/,ייעוץ זוגי - מדריך מקיף ואינדקס מטפלים זוגיים | בטיפולנט,betipulnet.co.il,DIRECTORY,"מהו ייעוץ זוגי, מתי כדאי לפנות, שיטות טיפול מרכזיות (EFT, אימגו) ורשימת מטפלים זוגיים מוסמכים בפריסה ארצית.",2026-09-18T14:20:00Z
SEED-COUP-01,ייעוץ זוגי,2,https://www.clalit.co.il/he/mental_health/Pages/couples_therapy.aspx,טיפול זוגי ומשפחתי בסבסוד קופת חולים | כללית,clalit.co.il,HEALTH_FUND,"שירותי ייעוץ וטיפול זוגי במרפאות בריאות הנפש של כללית: זכאות, השתתפות עצמית ואופן הגשת הבקשה.",2026-09-18T14:20:00Z
SEED-COUP-01,ייעוץ זוגי,3,https://www.maccabi4u.co.il/1784-he/Maccabi.aspx,ייעוץ זוגי וטיפול משפחתי במכבי | מכבי שירותי בריאות,maccabi4u.co.il,HEALTH_FUND,"מידע על פגישות טיפול זוגי בהסדר עם מכבי, רשימת מטפלים מוסמכים ותעריפי השתתפות עצמית.",2026-09-18T14:20:00Z
SEED-COUP-01,ייעוץ זוגי,4,https://www.midrag.co.il/SpCard/Sp/279,יועצים זוגיים מומלצים ומדורגים לפי חוות דעת אמיתיות | מידרג,midrag.co.il,DIRECTORY,"רשימת יועצים ומטפלים זוגיים עם דירוגים, ציוני לקוחות על יחסי אנוש ומקצועיות.",2026-09-18T14:20:00Z
SEED-COUP-01,ייעוץ זוגי,5,https://www.tipulpsychology.co.il/couples-therapy/,טיפול זוגי - מתי כדאי לפנות ומה קורה בחדר הטיפולים? | מכון טמיר,tipulpsychology.co.il,CLINIC,"איך עובד תהליך טיפול זוגי, כמה זמן הוא נמשך, שאלות נפוצות על משברים בזוגיות ומטפלים מומלצים.",2026-09-18T14:20:00Z
SEED-COUP-02,ייעוץ זוגי אשדוד,1,https://www.ashdod.muni.il/departments/social-services/family-counseling/,התחנה לטיפול זוגי ומשפחתי | עיריית אשדוד,ashdod.muni.il,MUNICIPAL,"התחנה מציעה טיפול זוגי, הדרכת הורים וייעוץ משפחתי לתושבי אשדוד במחירים מסובסדים על פי קריטריונים של משרד הרווחה. רחוב יצחק שדה 8.",2026-09-18T14:20:00Z
SEED-COUP-02,ייעוץ זוגי אשדוד,2,https://www.betipulnet.co.il/counseling/couples/ashdod/,מטפלים זוגיים באשדוד - רשימת מומלצים וחוות דעת | בטיפולנט,betipulnet.co.il,DIRECTORY,"מטפלים ויועצים זוגיים מוסמכים באשדוד. סינון לפי שכונות בעיר, גישות טיפול (CBT, דינמי, EFT) וזמינות לתורים.",2026-09-18T14:20:00Z
SEED-COUP-02,ייעוץ זוגי אשדוד,3,https://easy.co.il/page/10041235,ייעוץ זוגי באשדוד - עסקים ומטפלים מומלצים | איזי,easy.co.il,DIRECTORY,"מפת יועצים זוגיים באשדוד, דירוגי גולשים, שעות קבלה וטלפונים.",2026-09-18T14:20:00Z
SEED-COUP-02,ייעוץ זוגי אשדוד,4,https://www.michaldiamant.co.il/,מיכל דיאמנט - טיפול זוגי ואישי בקליניקה באשדוד,michaldiamant.co.il,ORGANIC,"מטפלת זוגית ומשפחתית מוסמכת באשדוד. ליווי במשברי אמון, קשיי תקשורת והתרחקות רגשית.",2026-09-18T14:20:00Z
SEED-COUP-02,ייעוץ זוגי אשדוד,5,https://www.yosefshahar.co.il/,יוסף שחר - יועץ זוגי באשדוד והסביבה,yosefshahar.co.il,ORGANIC,"ייעוץ זוגי באשדוד: שיפור התקשורת, חיזוק הקשר ופתרון קונפליקטים בקליניקה פרטית.",2026-09-18T14:20:00Z
SEED-COUP-03,יועצת זוגית אשדוד,1,https://www.betipulnet.co.il/therapists/ashdod/female-couples/,יועצות ומטפלות זוגיות באשדוד | בטיפולנט,betipulnet.co.il,DIRECTORY,"אינדקס מטפלות זוגיות ומשפחתיות באשדוד עם פירוט תארים, הסמכות וניסיון קליני.",2026-09-18T14:20:00Z
SEED-COUP-03,יועצת זוגית אשדוד,2,https://www.b144.co.il/couples-counselors/ashdod/,יועצות זוגיות באשדוד - טלפונים והמלצות | B144,b144.co.il,DIRECTORY,"רשימת יועצות זוגיות באשדוד עם דירוגים, מפות הגעה ויצירת קשר מהירה.",2026-09-18T14:20:00Z
SEED-COUP-03,יועצת זוגית אשדוד,3,https://www.midrag.co.il/SpCard/Sp/279/ashdod,יועצות זוגיות מומלצות באשדוד - דירוג לקוחות | מידרג,midrag.co.il,DIRECTORY,דירוג יועצות זוגיות באשדוד על פי חוות דעת מאומתות.,2026-09-18T14:20:00Z
SEED-COUP-04,תקשורת זוגית,1,https://hadarzohar.com/couples-communication/,תקשורת זוגית: איך לדבר כדי שהצד השני יקשיב? | הדר זוהר,hadarzohar.com,ORGANIC,"כלים מעשיים לשיפור תקשורת בזוגיות, עצירת דפוסי האשמה ומעבר להקשבה אמפתית.",2026-09-18T14:20:00Z
SEED-COUP-04,תקשורת זוגית,2,https://rega.co.il/articles/couples-talk/,איך לשפר את התקשורת הזוגית? 5 עקרונות זהב | מרכז רגע,rega.co.il,ORGANIC,"שפת האני, זיהוי ארבעת פרשי האפוקליפסה של גוטמן וניהול שיחות קשות ללא פיצוץ.",2026-09-18T14:20:00Z
SEED-COUP-04,תקשורת זוגית,3,https://onlinetherapy.co.il/couples-communication-skills/,מיומנויות תקשורת זוגית - תרגילים מעשיים לבית | אונליין תרפי,onlinetherapy.co.il,ORGANIC,תרגילים מעשיים לזוגות לשיפור ההקשבה והפחתת ביקורתיות וציניות.,2026-09-18T14:20:00Z
